,delta_sim,tstats,raw_p_2tailed,raw_p_1tailed,p_fdr_bh
2012-ctx-rh-lateralorbitofrontal,0.3211780092362327,3.2893836145515927,0.0026381854400902623,0.0013190927200451312,0.004436948240151804
1035-ctx-lh-insula,0.2274600027835956,3.1424343315332264,0.0038423374264286397,0.0019211687132143199,0.0061811515120808545
2003-ctx-rh-caudalmiddlefrontal,0.2385554546522323,2.7534725046529247,0.010070501180419245,0.005035250590209621,0.015525355986479663
1006-ctx-lh-entorhinal,0.2135333965880142,2.730083617294324,0.010653588488785207,0.0053267942443926035,0.015767310963402108
2015-ctx-rh-middletemporal,0.17815805761578707,2.5712296980584304,0.0155279408761178,0.0077639704380589,0.021752712591216916
1009-ctx-lh-inferiortemporal,0.2251874757361157,2.55072019193515,0.016289993692826726,0.008144996846413363,0.021752712591216916
1014-ctx-lh-medialorbitofrontal,0.2129611778606765,2.546226550704516,0.016461512231191182,0.008230756115595591,0.021752712591216916
2010-ctx-rh-isthmuscingulate,0.1661379746146792,2.4735779153792894,0.019476100926766517,0.009738050463383259,0.024190715011169376
1017-ctx-lh-paracentral,0.14635961214185464,2.470506531838913,0.019614093252299496,0.009807046626149748,0.024190715011169376
1027-ctx-lh-rostralmiddlefrontal,0.17714747569083536,2.3793565075030423,0.024140876964783384,0.012070438482391692,0.02881330476441888
18-Left-Amygdala,0.16760141998225586,2.299105252588114,0.028894610497995733,0.014447305248997863,0.03340939338830756
50-Right-Caudate,0.15734811392105488,2.2666905638470345,0.031044262543040095,0.015522131271520048,0.03480720345734799
1019-ctx-lh-parsorbitalis,0.22219271366475427,2.2354568986803964,0.0332511298609014,0.016625564930450698,0.035555005342359405
17-Left-Hippocampus,0.1778161903993313,2.2302413146880515,0.033633113161691326,0.016816556580845663,0.035555005342359405
1003-ctx-lh-caudalmiddlefrontal,0.1711966137870046,2.1771336879820544,0.037753191440442334,0.018876595720221163,0.03880189120267683
51-Right-Putamen,0.1452888527914234,2.1167708499269926,0.042979844980620914,0.021489922490310457,0.042979844980620914
1034-ctx-lh-transversetemporal,0.1228723209413338,2.0554610199417023,0.04893765248956942,0.02446882624478471,0.047649819529317586
2022-ctx-rh-postcentral,0.183299473025698,1.9723028411875851,0.05817834633496339,0.029089173167481695,0.05469477020078455
2020-ctx-rh-parstriangularis,0.1557406706286896,1.9644151962944945,0.059129481298145464,0.029564740649072732,0.05469477020078455
53-Right-Hippocampus,0.1525888578400641,1.9380155069673417,0.06241233295330896,0.03120616647665448,0.05632332486030321
2018-ctx-rh-parsopercularis,0.12463569789282795,1.7722391112696425,0.0868621309845666,0.0434310654922833,0.07652140110545154
2035-ctx-rh-insula,0.14769522736068535,1.5781667050160268,0.1253745968657936,0.0626872984328968,0.1078804670705666
1016-ctx-lh-parahippocampal,0.1238516325305383,1.5609978259730342,0.12937213533209824,0.06468606766604912,0.10879020471108262
2002-ctx-rh-caudalanteriorcingulate,0.11770946189876777,1.5062204105246415,0.142826752143142,0.071413376071571,0.11743532953991676
2019-ctx-rh-parsorbitalis,0.13476356872470993,1.475363070491952,0.15089055164958706,0.07544527582479353,0.11954507762412447
1024-ctx-lh-precentral,0.09782914168938443,1.4626631650376347,0.15431371213383493,0.07715685606691748,0.11954507762412447
1030-ctx-lh-superiortemporal,0.10821377180713912,1.4598310019061962,0.1550855061069723,0.07754275305348615,0.11954507762412447
2031-ctx-rh-supramarginal,0.11548618287372155,1.4063722012558908,0.17023941608013074,0.08511970804006537,0.12787866104880544
2027-ctx-rh-rostralmiddlefrontal,0.12900639015228252,1.3976844998629936,0.17280900141730465,0.08640450070865231,0.12787866104880544
1015-ctx-lh-middletemporal,0.09134461142258453,1.3699266209160663,0.181223824127354,0.09061191206367697,0.1314761077002372
2014-ctx-rh-medialorbitofrontal,0.08762273061902186,1.3374296146210154,0.19147816168420348,0.09573908084210174,0.13568760839946048
2023-ctx-rh-posteriorcingulate,0.08484160079187969,1.3285301744402704,0.19436333095057853,0.09718166547528928,0.13568760839946048
1020-ctx-lh-parstriangularis,0.1205997678056723,1.2850959958811996,0.20892805644842846,0.10446402822421426,0.1431544090479973
2028-ctx-rh-superiorfrontal,0.11796999797675653,1.2644997695357862,0.21611915059678435,0.10805957529839218,0.1452491284206577
2026-ctx-rh-rostralanteriorcingulate,0.11686766349623386,1.254055910813467,0.2198365186907252,0.1099182593453626,0.1452491284206577
2024-ctx-rh-precentral,0.09020814150114814,1.0350028895866519,0.3092216818722581,0.15461084093612906,0.20072284612760616
52-Right-Pallidum,0.07879134378694395,0.99644721288935,0.3272751093009111,0.16363755465045554,0.20877894903678806
12-Left-Putamen,0.08479040825986714,0.9060630354201792,0.3723694654491132,0.1861847327245566,0.2335198342646981
11-Left-Caudate,0.07110560323118607,0.8741616466258882,0.3892122229559716,0.1946061114779858,0.2400142041561825
2017-ctx-rh-paracentral,0.04872910741383367,0.8160220648039999,0.4211399640800931,0.21056998204004654,0.2530338058822214
1023-ctx-lh-posteriorcingulate,0.05248659662536563,0.8109457176625995,0.4240025936404791,0.21200129682023955,0.2530338058822214
1018-ctx-lh-parsopercularis,0.04939622144947528,0.79568247958406,0.432681630187776,0.216340815093888,0.25411460820551923
58-Right-Accumbens-area,0.05321298518871509,0.7602172149188948,0.4532614126074958,0.2266307063037479,0.26204175416370845
1022-ctx-lh-postcentral,0.06906963620159783,0.6541214972955588,0.5181876353682486,0.2590938176841243,0.2949683462865415
2034-ctx-rh-transversetemporal,0.0608191520195796,0.6038297187576744,0.5506514859843776,0.2753257429921888,0.3086985603245753
13-Left-Pallidum,0.04108285547818605,0.4896298598638397,0.6280792924222325,0.31403964621111624,0.3420766757586869
1002-ctx-lh-caudalanteriorcingulate,-0.024024158630485508,-0.4887687524732022,0.6286814581511002,0.3143407290755501,0.3420766757586869
1031-ctx-lh-supramarginal,-0.03106917681793265,-0.3810849941121983,0.7059178325201487,0.3529589162600744,0.3785356493223986
26-Left-Accumbens-area,-0.0257450542647792,-0.27087555524888857,0.7884054651839263,0.3942027325919632,0.4167286030257896
54-Right-Amygdala,-0.02022396154491139,-0.23069971160838024,0.8191679087604655,0.4095839543802328,0.4268903186498201
1026-ctx-lh-rostralanteriorcingulate,0.004738617026556678,0.04981406042158297,0.9606120790174296,0.4803060395087149,0.4884030934335119
1028-ctx-lh-superiorfrontal,0.0036844726996661343,0.046024625115123736,0.9636061032607126,0.4818030516303563,0.4884030934335119
2006-ctx-rh-entorhinal,0.0001331804052729979,0.0015034570460954679,0.9988107100745378,0.4994053550372689,0.4994053550372689
