,delta_sim,tstats,raw_p_2tailed,raw_p_1tailed,p_fdr_bh
2031-ctx-rh-supramarginal,0.05798556436690789,2.3453279100280007,0.02606214205388165,0.013031071026940823,0.024991825028047827
2018-ctx-rh-parsopercularis,0.04246829154509927,2.3434012519265184,0.02617497400684553,0.013087487003422766,0.024991825028047827
1012-ctx-lh-lateralorbitofrontal,0.04470396006210014,2.340550577416588,0.02634273448902338,0.01317136724451169,0.024991825028047827
50-Right-Caudate,0.036006116850151815,2.296668310519221,0.029051410593726394,0.014525705296863197,0.026872554799196917
2023-ctx-rh-posteriorcingulate,0.044760080096215536,2.2534180872330243,0.0319653802640267,0.01598269013201335,0.02884680657973141
2024-ctx-rh-precentral,0.10643484303913343,2.229934634295973,0.03365569650924001,0.01682784825462,0.029649065972425726
1017-ctx-lh-paracentral,0.04289784960565465,2.189792713799048,0.036732039550398866,0.01836601977519944,0.03160663868290136
13-Left-Pallidum,0.05067279713828903,2.114201498223728,0.04321596191968535,0.021607980959842676,0.03634069525064449
2019-ctx-rh-parsorbitalis,0.03478807061003161,2.0717209045008405,0.0472903403751108,0.0236451701875554,0.03888316875286888
1030-ctx-lh-superiortemporal,0.043825409862180614,2.0216653150966293,0.05252442493085748,0.026262212465428737,0.04224790700960275
2017-ctx-rh-paracentral,0.083436109951915,1.8673945237962808,0.07198418031075884,0.03599209015537942,0.056668397265916534
2022-ctx-rh-postcentral,0.09117716410643424,1.823609040939912,0.07853380222211333,0.03926690111105666,0.06053647254621235
2020-ctx-rh-parstriangularis,0.02642886155918133,1.6757046899435666,0.10454684766888876,0.05227342383444438,0.07894353803569151
2027-ctx-rh-rostralmiddlefrontal,0.025079923032135732,1.5725924223697456,0.12666124271544546,0.06333062135772273,0.09372931960942964
18-Left-Amygdala,0.03774469859715955,1.4578135572745907,0.1556371595066046,0.0778185797533023,0.11291323336753667
2014-ctx-rh-medialorbitofrontal,0.03753246010935075,1.4216856878270232,0.1657835757249801,0.08289178786249005,0.11761258776798222
2035-ctx-rh-insula,0.030974677795169624,1.4120684083221782,0.1685710509601798,0.0842855254800899,0.11761258776798222
2010-ctx-rh-isthmuscingulate,0.021812365055705888,1.4015876517084702,0.17165080376948758,0.08582540188474379,0.11761258776798222
1014-ctx-lh-medialorbitofrontal,0.03405299962749071,1.3551955471845922,0.1858178082548824,0.09290890412744117,0.1244445095501078
12-Left-Putamen,0.02556947012071622,1.3472015422561323,0.18834844688664965,0.09417422344332482,0.1244445095501078
1016-ctx-lh-parahippocampal,0.03264411189114129,1.2685957100665992,0.2146743187001591,0.10733715935007956,0.1378080919348852
2016-ctx-rh-parahippocampal,0.02027782121113612,1.2647702987480705,0.21602349546549568,0.10801174773274784,0.1378080919348852
1034-ctx-lh-transversetemporal,0.02606771433469621,1.1321396463012214,0.2668504235261933,0.13342521176309666,0.16734687577066354
54-Right-Amygdala,0.019302125016015047,1.066898270354302,0.294819536784836,0.147409768392418,0.18180538101731555
1002-ctx-lh-caudalanteriorcingulate,0.013140629510958695,0.992034672532066,0.3293863178905224,0.1646931589452612,0.1997917010155628
2009-ctx-rh-inferiortemporal,0.01080003048430948,0.9518229199690094,0.34905306221556204,0.17452653110778102,0.208305859709287
1006-ctx-lh-entorhinal,0.020015421025487024,0.7961474332283188,0.4324156578100081,0.21620782890500406,0.25395840220587784
1026-ctx-lh-rostralanteriorcingulate,0.014220848950999369,0.6763182585377445,0.5041973161649376,0.2520986580824688,0.2891435957773964
11-Left-Caudate,-0.011383183813045874,-0.6703234868903958,0.5079549655548856,0.2539774827774428,0.2891435957773964
26-Left-Accumbens-area,0.011593571848755998,0.642033988407347,0.5258942051447302,0.2629471025723651,0.2948194786417427
53-Right-Hippocampus,0.006985869031697294,0.3981842117958005,0.6934107924693174,0.3467053962346587,0.3800748438182866
2026-ctx-rh-rostralanteriorcingulate,0.009423865251373344,0.3911904502703503,0.6985159291795537,0.3492579645897769,0.3800748438182866
2034-ctx-rh-transversetemporal,0.011817209197408815,0.3045837287385131,0.7628583329375513,0.3814291664687757,0.4090689611404261
2006-ctx-rh-entorhinal,0.008270783770798809,0.28072495785125195,0.7809144540547918,0.3904572270273959,0.4127690685718185
2002-ctx-rh-caudalanteriorcingulate,-0.002458911791761229,-0.14413593136350833,0.8863901221409336,0.4431950610704668,0.4619216129466837
17-Left-Hippocampus,-0.0015536727274019938,-0.1132036153018059,0.91064917120121,0.455324585600605,0.4679724907561774
58-Right-Accumbens-area,-0.002566636705208645,-0.09583739225132976,0.9243089325562528,0.4621544662781264,0.4684853493778267
52-Right-Pallidum,-0.0010090003530549526,-0.043938475393182436,0.9652545988148388,0.4826272994074194,0.4826272994074194
